word,
愛 ,
八 ,
爸爸 ,
杯子 ,
北京,
本 ,
不 ,
不客氣 ,
菜 ,
茶 ,
吃 ,
出租車 ,
打電話,
大 ,
的 ,
點 ,
電腦 ,
電視 ,
電影 ,
東西,
都,
讀 ,
對不起,
多 ,
多少 ,
兒子 ,
二 ,
飯店,
飛機 ,
分鐘 ,
高興 ,
個 ,
工作 ,
狗,
漢語 ,
好 ,
號,
喝 ,
和,
很 ,
後面 ,
回 ,
會 ,
幾 ,
家 ,
叫 ,
今天 ,
九 ,
開 ,
看,
看見 ,
塊,
來 ,
老師 ,
了 ,
冷 ,
裏,
六 ,
媽媽 ,
嗎 ,
買 ,
貓,
沒關系,
沒有,
米飯 ,
名字 ,
明天 ,
哪 ,
哪兒,
那,
呢,
能,
你 ,
年 ,
女兒 ,
朋友 ,
漂亮,
蘋果 ,
七 ,
前面 ,
錢 ,
請,
去 ,
熱 ,
人 ,
認識,
三 ,
商店 ,
上 ,
上午 ,
少 ,
誰,
什麽 ,
十 ,
時候,
是,
書 ,
水 ,
水果 ,
睡覺 ,
說,
四 ,
歲 ,
他 ,
她,
太 ,
天氣 ,
聽 ,
同學 ,
餵（嘆詞）,
我 ,
我們 ,
五 ,
喜歡 ,
下 ,
下午 ,
下雨,
先生 ,
現在 ,
想 ,
小 ,
小姐,
些 ,
寫 ,
謝謝 ,
星期 ,
學生 ,
學習 ,
學校 ,
一 ,
一點兒,
衣服 ,
醫生 ,
醫院 ,
椅子,
有,
月 ,
再見,
在,
怎麽 ,
怎麽樣,
這,
中國 ,
中午 ,
住 ,
桌子 ,
字 ,
昨天 ,
坐 ,
做 ,
